"Date","Price","Open","High","Low","Change %"
"Jan 19","7.300","7.480","7.550","7.300","-2.41%"
"Dec 18","7.480","8.000","8.000","7.450","-6.50%"
"Nov 18","8.000","8.610","8.610","8.000","-7.08%"
"Oct 18","8.610","8.582","9.332","8.520","0.68%"
"Sep 18","8.552","7.489","8.552","7.325","13.97%"
"Aug 18","7.504","7.593","7.598","7.000","-0.99%"
"Jul 18","7.579","7.576","7.579","7.464","0.65%"
"Jun 18","7.530","7.555","7.676","7.248","0.28%"
"May 18","7.509","7.495","7.666","6.581","11.00%"
"Apr 18","6.765","7.443","8.169","6.765","-8.49%"
"Mar 18","7.393","7.114","7.447","6.749","3.50%"
"Feb 18","7.143","6.555","7.270","6.555","20.25%"
"Jan 18","5.940","6.141","6.470","5.500","-3.48%"
"Dec 17","6.154","5.945","6.176","5.280","17.06%"
"Nov 17","5.257","5.665","6.056","5.250","-7.32%"
"Oct 17","5.672","5.175","5.688","5.155","9.14%"
"Sep 17","5.197","5.209","5.684","5.146","-1.03%"
"Aug 17","5.251","5.195","5.704","5.195","-0.08%"
"Jul 17","5.255","5.630","5.630","5.198","4.22%"
"Jun 17","5.042","5.175","5.584","4.845","-3.98%"
"May 17","5.251","5.295","5.725","5.149","1.88%"
"Apr 17","5.154","5.142","5.596","5.111","1.16%"
"Mar 17","5.095","5.221","5.571","4.829","7.47%"
"Feb 17","4.741","4.730","5.398","4.668","-0.32%"
"Jan 17","4.756","5.512","5.512","4.756","-4.56%"
"Dec 16","4.983","5.845","5.868","4.911","2.03%"
"Nov 16","4.884","4.633","5.880","4.633","3.69%"
"Oct 16","4.710","4.156","4.895","4.156","-1.55%"
"Sep 16","4.784","4.067","4.784","4.030","17.37%"
"Aug 16","4.076","3.974","4.507","3.945","2.57%"
"Jul 16","3.974","4.363","4.883","3.941","-8.92%"
"Jun 16","4.363","4.580","5.092","4.363","-4.70%"
"May 16","4.578","4.632","5.152","4.566","-1.44%"
"Apr 16","4.645","4.569","5.317","4.497","1.66%"
"Mar 16","4.569","4.701","5.298","4.505","-4.01%"
"Feb 16","4.760","4.978","5.340","4.700","-4.40%"
"Jan 16","4.979","5.505","5.505","4.858","1.78%"
"Dec 15","4.892","5.557","5.557","4.892","-0.61%"
"Nov 15","4.922","4.649","4.994","4.649","6.33%"
"Oct 15","4.629","4.699","4.699","4.602","-2.09%"
"Sep 15","4.728","5.023","5.048","4.433","3.93%"
"Aug 15","4.549","4.727","4.957","4.539","-3.77%"
"Jul 15","4.727","4.732","4.988","4.709","-0.04%"
"Jun 15","4.729","4.678","5.068","4.674","0.83%"
"May 15","4.690","4.697","5.092","4.689","0.32%"
"Apr 15","4.675","4.554","4.744","4.507","-1.91%"
"Mar 15","4.766","4.564","4.766","4.564","4.02%"
"Feb 15","4.582","4.085","4.615","4.085","9.51%"
